,Eff Gas Day/Eff Time,TSP Name,CycleDesc,Loc Purp Desc,Loc,Loc Name,Loc Zn,Loc (Segment),Design Capacity,Operating Capacity,Total Scheduled Quantity,Operationally Available Capacity,IT,Flow Ind,All Qty Avail,Qty Reason,TimeStamp
172,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,46594,AMER IL/NGPL AM CDP                ,6.0,14.0,0,"149,537","50,355","99,182",N,D,Y,,2025-04-26 10:40:07
173,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,46595,AMER IL/NGPL GC CDP                ,6.0,28.0,0,"183,034","65,590","117,444",N,D,Y,,2025-04-26 10:40:07
174,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,46622,SPLIQ/NGPL SABINE PASS LIQUEFACTION,5.0,23.0,"1,700,000","1,100,000","469,708","630,292",N,D,Y,,2025-04-26 10:40:07
175,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,46896,XTO ENER/NGPL FUEL CARTER          ,3.0,15.0,"1,151","1,151",109,"1,042",Y,D,Y,,2025-04-26 10:40:07
176,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,47140,CNTRPT/NGPL KATY MILLS HARRIS      ,4.0,22.0,"4,800","4,800",139,"4,661",Y,D,Y,,2025-04-26 10:40:07
177,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,47225,TALLGRAS/NGPL PONY EXPRESS LINCOLN ,2.0,11.0,"200,000","200,000","4,989","195,011",N,D,Y,,2025-04-26 10:40:07
178,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,47226,NMP/NGPL NUECES                    ,4.0,20.0,"500,000","425,000","26,950","398,050",Y,BD,Y,,2025-04-26 10:40:07
179,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,47662,ATMOS-TX/NGPL PYOTE WARD           ,1.0,9.0,"200,000",1,0,1,N,BD,Y,,2025-04-26 10:40:07
180,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,47686,PAMPA/NGPL GRAY                    ,2.0,6.0,"15,000","15,000","9,170","5,830",N,D,Y,,2025-04-26 10:40:07
181,4/2/2025 10:00 PM CCT,NATURAL GAS PIPELINE CO.,INTRADAY 3,Delivery Location,47760,SIENERGY/NGPL TAMARRON FORT BEND   ,4.0,22.0,"50,000","50,000",397,"49,603",Y,D,Y,,2025-04-26 10:40:07
